rank,player name,team,matchup,best rank,worst rank,avg rank,std dev
1,Jordan Reed,WAS,  vs.  PIT,1,6,1.3161764705882,0.87196706193149,,
2,Travis Kelce,KC,  vs.  SD,1,10,3.1985294117647,1.8582876880311,,
3,Greg Olsen,CAR,  at  DEN,1,8,3.7099236641221,1.4222257023311,,
4,Delanie Walker,TEN,  vs.  MIN,1,13,4.6029411764706,2.1770170220251,,
5,Coby Fleener,NO,  vs.  OAK,1,18,5.8455882352941,2.8668456647933,,
6,Gary Barnidge,CLE,  at  PHI,1,13,6.6102941176471,2.3268660889376,,
7,Zach Ertz,PHI,  vs.  CLE,2,18,7.9705882352941,3.0772915337015,,
8,Martellus Bennett,NE,  at  ARI,1,19,8.5,3.6096276490389,,
9,Julius Thomas,JAC,  vs.  GB,1,16,9.0955882352941,2.5143081040745,,
10,Antonio Gates,SD,  at  KC,3,23,9.8970588235294,3.0733183152951,,
11,Dwayne Allen,IND,  vs.  DET,2,34,10.308823529412,3.3748958717757,,
12,Jason Witten,DAL,  vs.  NYG,4,19,11.911764705882,2.6359242944009,,
13,Jared Cook,GB,  at  JAC,4,25,13.706766917293,3.4309120094152,,
14,Eric Ebron,DET,  at  IND,7,39,15.365671641791,4.1295098273971,,
15,Clive Walford,OAK,  at  NO,4,28,15.261194029851,3.7235216529068,,
16,Zach Miller,CHI,  at  HOU,6,30,15.253731343284,2.9465045498271,,
17,Vance McDonald,SF,  vs.  LA,4,32,17.221374045802,3.9370816415787,,
18,Charles Clay,BUF,  at  BAL,9,31,18.320610687023,2.9298859513862,,
19,Jesse James,PIT,  at  WAS,8,32,18.879032258065,4.1203522045187,,
20,Kyle Rudolph,MIN,  at  TEN,11,29,20.515625,3.1473807935131,,
21,Jimmy Graham,SEA,  vs.  MIA,6,32,20.911764705882,4.771448871862,,
22,Virgil Green,DEN,  vs.  CAR,9,33,21.325203252033,3.6570367295962,,
23,Austin Seferian-Jenkins,TB,  at  ATL,9,43,24.590476190476,5.3571407407403,,
24,Jordan Cameron,MIA,  at  SEA,13,41,23.520661157025,3.4809972294777,,
25,Will Tye,NYG,  at  DAL,14,37,24.584158415842,3.6377213157338,,
26,Jacob Tamme,ATL,  vs.  TB,11,36,27.054347826087,4.2919645102538,,
27,Cameron Brate,TB,  at  ATL,13,36,26.018691588785,3.7416106992188,,
28,David Johnson,PIT,  at  WAS,1,81,44,32.934277989151,,
29,Crockett Gillmore,BAL,  vs.  BUF,15,38,26.405940594059,4.1078968091337,,
30,Dennis Pitta,BAL,  vs.  BUF,15,59,30.4,7.9173508476285,,
31,Tyler Kroft,CIN,  at  NYJ,16,47,28.081967213115,5.2519944126399,,
32,Larry Donnell,NYG,  at  DAL,18,38,29.246575342466,5.07958800486,,
33,Ryan Griffin,HOU,  vs.  CHI,16,40,31.32,5.296942514319,,
34,Richard Rodgers,GB,  at  JAC,18,51,28.515789473684,5.0049725965804,,
35,Luke Willson,SEA,  vs.  MIA,20,44,29.935483870968,5.0124714390368,,
36,Tyler Higbee,LA,  at  SF,20,62,34.358490566038,6.6477243648517,,
37,Vernon Davis,WAS,  vs.  PIT,20,59,35.017543859649,8.1831903615699,,
38,Darren Fells,ARI,  vs.  NE,20,42,33.774193548387,5.4814036195083,,
39,Lance Kendricks,LA,  at  SF,21,38,29.684931506849,3.8494856882189,,
40,Owen Daniels,FA,,21,35,28,7,,
