1,Denver Broncos ,5,1,9,2.0,1.7,1.0,0.0, 
2,Seattle Seahawks ,6,1,13,3.1,2.3,3.0,+1.0, 
3,Houston Texans ,7,1,12,3.6,2.2,4.0,+1.0, 
4,Kansas City Chiefs ,10,1,7,3.7,1.6,2.0,-2.0, 
5,Minnesota Vikings ,9,2,13,5.6,2.2,5.0,0.0, 
6,Arizona Cardinals ,8,1,17,6.3,3.7,7.0,+1.0, 
7,New England Patriots ,9,3,14,7.4,2.7,6.0,-1.0, 
8,Carolina Panthers ,11,4,17,9.6,3.0,9.0,+1.0, 
9,New York Giants ,8,3,23,9.5,3.7,8.0,-1.0, 
10,Jacksonville Jaguars ,8,2,19,11.6,3.7,13.0,+3.0, 
11,Los Angeles Rams ,8,6,28,12.1,4.9,10.0,-1.0, 
12,Baltimore Ravens ,10,5,23,13.1,3.5,15.0,+3.0, 
13,Philadelphia Eagles ,10,4,21,13.6,3.8,12.0,-1.0, 
14,Pittsburgh Steelers ,9,6,22,14.0,3.6,14.0,0.0, 
15,Cincinnati Bengals ,6,7,27,15.8,4.8,21.0,+6.0, 
16,Green Bay Packers ,8,10,26,16.8,3.2,18.0,+2.0, 
17,Oakland Raiders ,10,11,30,16.9,3.8,16.0,-1.0, 
18,Los Angeles Chargers ,9,5,26,15.3,4.1,20.0,+2.0, 
19,Tampa Bay Buccaneers ,11,6,26,17.3,4.5,22.0,+3.0, 
20,Atlanta Falcons ,5,7,24,17.6,3.9,11.0,-9.0, 
21,Miami Dolphins ,11,5,27,19.8,3.9,23.0,+2.0, 
22,Buffalo Bills ,6,9,31,19.9,4.6,17.0,-5.0, 
23,Tennessee Titans ,8,8,27,19.4,5.1,26.0,+3.0, 
24,Detroit Lions ,7,18,29,23.8,3.4,,, 
25,New York Jets ,11,9,32,24.2,6.6,,, 
26,Washington Redskins ,5,16,29,24.3,3.4,24.0,-2.0, 
27,Dallas Cowboys ,6,19,30,25.0,2.6,19.0,-8.0, 
28,Indianapolis Colts ,11,20,32,27.2,3.0,,, 
29,Chicago Bears ,9,23,32,28.0,2.1,,, 
30,New Orleans Saints ,5,18,32,28.4,3.6,,, 
31,San Francisco 49ers ,11,25,32,29.7,2.4,25.0,-6.0, 
32,Cleveland Browns ,9,25,32,30.1,2.1,,, 
