1,Todd Gurley,LA,  at  SF,1,6,1.3571428571429,0.81127262082861,,
2,Adrian Peterson,MIN,  at  TEN,1,10,3.0178571428571,1.8174852271808,,
3,Lamar Miller,HOU,  vs.  CHI,1,12,3.8571428571429,1.7971065179156,,
4,David Johnson,ARI,  vs.  NE,1,13,4.1071428571429,2.2334995876792,,
5,Ezekiel Elliott,DAL,  vs.  NYG,1,10,4.4821428571429,1.9456092640002,,
6,Mark Ingram,NO,  vs.  OAK,4,14,7.6964285714286,2.1457569664768,,
7,Devonta Freeman,ATL,  vs.  TB,4,28,8.1071428571429,3.4572830550085,,
8,Doug Martin,TB,  at  ATL,2,21,8.7678571428571,2.8908171819733,,
9,Eddie Lacy,GB,  at  JAC,5,15,9.625,2.1593856599902,,
10,LeSean McCoy,BUF,  at  BAL,5,16,10.196428571429,2.166462248337,,
11,DeAngelo Williams,PIT,  at  WAS,1,41,11.142857142857,6.566768534035,,
12,Latavius Murray,OAK,  at  NO,3,20,11.321428571429,2.9526449574742,,
13,C.J. Anderson,DEN,  vs.  CAR,11,26,14.660714285714,2.4442117171733,,
14,Ryan Mathews,PHI,  vs.  CLE,9,34,15.446428571429,4.4074597593866,,
15,Carlos Hyde,SF,  vs.  LA,10,25,15.678571428571,2.9283536504392,,
16,DeMarco Murray,TEN,  vs.  MIN,8,31,18.125,3.5003188630262,,
17,Matt Forte,NYJ,  vs.  CIN,13,28,19.214285714286,2.6098322723493,,
18,Spencer Ware,KC,  vs.  SD,6,74,19.981818181818,14.312729120473,,
19,Frank Gore,IND,  vs.  DET,7,37,20.160714285714,4.5894941586904,,
20,Jeremy Langford,CHI,  at  HOU,12,30,21.053571428571,3.424802616091,,
21,Thomas Rawls,SEA,  vs.  MIA,7,43,21.196428571429,7.1947888950891,,
22,Rashad Jennings,NYG,  at  DAL,11,37,21.660714285714,4.774473739565,,
23,Melvin Gordon,SD,  at  KC,11,39,24.160714285714,4.9489421153641,,
24,Jonathan Stewart,CAR,  at  DEN,14,34,24.267857142857,3.720076186953,,
25,Jeremy Hill,CIN,  at  NYJ,10,39,24.821428571429,5.4152797805876,,
26,Ameer Abdullah,DET,  at  IND,12,35,25.482142857143,4.0355167461136,,
27,Duke Johnson,CLE,  at  PHI,19,38,26.857142857143,3.2095202769516,,
28,Giovani Bernard,CIN,  at  NYJ,17,39,27.75,3.7237174206123,,
29,Matt Jones,WAS,  vs.  PIT,15,50,29.142857142857,4.9440749944778,,
30,Arian Foster,MIA,  at  SEA,17,42,30.410714285714,5.0842079932244,,
31,Danny Woodhead,SD,  at  KC,18,40,30.642857142857,3.7816689976997,,
32,Chris Ivory,JAC,  vs.  GB,18,44,32.642857142857,4.741264792936,,
